Code,Name,Purchase Price,Tax,Retail Price,Category Code
1,Sardina calmex salsa de tomate 425gr,,0,28,13
2,Sardina ponto en aceite 120gr,,0,0,13
3,Atun dolores en agua 295gr,,0,0,13
4,Atun dolores en aceite 295gr,,0,0,13
5,Atun dolores en agua 140gr,,0,17,13
6,Atun dolores en aceite 140gr,,0,17,13
7,Sardina yavaros en salsa de tomate 425gr,,0,27,13
7501050410557,Papel higienico Quiality,,0,8,13
7501943412200,Papel higienico Petalo Jumbo,,0,25,13
8,NESCAFE CLASICO 14GR SOBRE,,0,10,13
7501036619233,Papel Higienico Regio 400 HJS,,0,24,13
9,Aceite 1-2-3 1 lt,,0,30,13
10,Aceite 1-2-3 500ml,,0,15,13
11,Aceite Nutrioli 946 ML,,0,30,13
12,Aceite Cristal 500ml,,0,15,13
13,Aceite Cristal 1 lt,,0,29,13
14,Aceite capullo 840ml,,0,30,13
15,Nescafe clasico sobre 28 gr,,0,16,13
16,Cafe Oro 24 kilates 75gr,,0,0,13
17,Nescafe 42gr soluble,,0,21,13
18,Nescafe 120gr soluble,,0,52,13
19,Nescafe 225gr soluble,,0,85,13
20,Cafe decaf 48gr soluble,,0,36,13
21,Nescafe decaf 95gr soluble,,0,0,13
22,Cafe legal sobre 30gr,,0,7,13
23,Cafe legal con canela sobre 34gr,,0,8,13
24,Maruchan instantanea camaron 64gr,,0,9,13
25,Maruchan Instantanea camaron con chile piquin 64gr,,0,9,13
26,Maruchan Instantanea camaron con limon y habanero 64gr,,0,9,13
27,Maruchan instantanea pollo 64gr,,0,9,13
28,Maruchan instantanea res 64gr,,0,9,13
29,Spaguetti la moderna 200gr,,0,5,13
30,Pasta la Moderna Fideo #2 200gr,,0,5,13
31,Pasta la Moderna Fideo #1 200gr,,0,5,13
32,Pasta la Moderna Fideo #0 200gr,,0,5,13
33,Pasta la moderna lengua 200gr,,0,5,13
34,Pasta la moderna Tallarin #1 200gr,,0,5,13
35,Pasta la Moderna Almeja 200gr,,0,5,13
36,Pasta la Moderna Moño mediano 200gr,,0,5,13
37,Pasta la moderna caracol #1 200gr,,0,5,13
38,Pasta la moderna macarron 200gr,,0,5,13
39,Pasta la moderna Estrella 200gr,,0,5,13
40,Pasta la Moderna Codo #2 200gr,,0,5,13
41,Pasta la Moderna Codo #3 200gr,,0,5,13
42,Palomitas act ii caramelo,,0,18,13
43,Palomitas act ii mantequilla,,0,10,13
44,Palomitas actii extra mantequilla,,0,10,13
45,Palomitas act ii natural 80gr,,0,10,13
46,Palomitas act ii chile y limon,,0,10,13
47,shampoo head shoulders L.R. 1 lt,,0,0,16
48,shampoo head shoulders C.C. 500ML,,0,52,16
7590002008898,shampoo head shoulders sobre 10ml,,0,15,16
49,Shampoo Pantene 1 lt,,0,0,16
50,Shampoo savile 1.2 lt,,0,3,16
7506192503433,Shampoo Savile Sobre,,0,0,16
51,Shampoo Pantene Sobre,,0,15,16
52,Shampoo Sedal sobre,,0,0,16
53,Shampoo Savile 750ml,,0,3,16
54,Desodorante Axe Spray Apollo 150ml,,0,3,16
55,Desodorante Axe Spray gold temptation 150ml,,0,3,16
7506306233324,Desodorante Axe Spray Dark Temptation 150ml,,0,50,16
7506306234727,Desodorante Axe Spray Black 150ml,,0,50,16
56,Desodorante Axe Spray Black Night 150ml,,0,50,16
7506306203419,Desodorante Axe Spray Excite 150ml,,0,50,16
57,Desodorante Axe Spray Peace 150ml,,0,50,16
58,Desodorante barra Lady speed stick invisible,,0,50,16
59,Desodorante Barra Dove Original,,0,50,16
78923454,Desodorante Rexona Men 50ml,,0,50,16
60,Desodorante Rexona Mujer 50ml,,0,0,16
61,Desodorante Rexona Women Cotton 50ml,,0,0,16
62,Arroz SOS Grueso Super extra 1kg,,0,55,16
63,Arroz SOS Super extra Largo 1kg,,0,20,16
64,Arroz Super extra Verde Valle 1kg,,0,0,16
65,Arroz morelos tipo sinaloa 1kg,,0,0,16
66,Sazonador mi arroz rojo sobre,,0,60,16
67,Sazonador Mi arroz blanco sobre,,0,55,16
68,Arroz Instantaneo Blanco Knorr 155gr,,0,45,16
